"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 13 12:57:30 AMT 2023","Wed Sep 13 12:57:49 AMT 2023","18599","","Tesvan Home Page","","",""," ContactModal test",""
"passed","Wed Sep 13 12:59:51 AMT 2023","Wed Sep 13 13:00:13 AMT 2023","21791","","Tesvan Home Page","","","","Check the functionality of the “SEND US A MESSAGE” container with a checkbox unchecked",""
"passed","Wed Sep 13 12:59:05 AMT 2023","Wed Sep 13 12:59:28 AMT 2023","22793","","Tesvan Home Page","","","","Check the functionality of the 'SEND US A MESSAGE' container with the empty Full Name",""
"failed","Wed Sep 13 13:00:13 AMT 2023","Wed Sep 13 13:00:53 AMT 2023","40744","","Tesvan Home Page","","","","Check menu language button functionality ",""
"passed","Wed Sep 13 12:58:19 AMT 2023","Wed Sep 13 12:58:42 AMT 2023","23660","","Tesvan Home Page","","","","Check the functionality of the 'SEND US A MESSAGE' container with the valid credentials",""
"passed","Wed Sep 13 12:59:28 AMT 2023","Wed Sep 13 12:59:51 AMT 2023","22528","","Tesvan Home Page","","","","Check the functionality of the “SEND US A MESSAGE” container with a description of less than 20 characters.",""
"passed","Wed Sep 13 12:57:53 AMT 2023","Wed Sep 13 12:58:19 AMT 2023","25643","","Tesvan Home Page","","","","Verify that latest projects' 'Read more' button is working properly",""
"passed","Wed Sep 13 12:58:42 AMT 2023","Wed Sep 13 12:59:05 AMT 2023","22922","","Tesvan Home Page","","","","Check the functionality of the 'SEND US A MESSAGE' container with the invalid email",""
"passed","Wed Sep 13 12:57:49 AMT 2023","Wed Sep 13 12:57:53 AMT 2023","3819","","Tesvan Home Page","","","","Check if all home page sections are available",""
"passed","Wed Sep 13 12:57:23 AMT 2023","Wed Sep 13 12:57:25 AMT 2023","2375","","Tesvan Home Page","","","","Verify that home page opened correctly ",""
"passed","Wed Sep 13 12:57:25 AMT 2023","Wed Sep 13 12:57:30 AMT 2023","5262","","Tesvan Home Page","","","","Background Video Loading Test",""
